INTERNO	DESCRICAO	QUANTIDADE	CODIGO EAN
19605	BERMUDA B. LUNENDER 844	3	7909878596635,00
10646	BERMUDA B. OPOSICAO FEM. 44612	2	7909642920130,00
10937	BERMUDA B. OPOSICAO FEM. 47895	1	7909642323283,00
12360	BERMUDA B. OPOSICAO FEM. 47916	1	7909642320183,00
19913	BERMUDA B. OPOSICAO FEM. 66271	3	7909888348651,00
8820	BERMUDA B. OPOSICAO FEM. 76793	7	7900203481725,00
13935	BERMUDA B. OPOSICAO FEM. 80561	5	7900203501478,00
10528	BERMUDA B. OPOSICAO FEM. 80562	4	7900203499676,00
10643	BERMUDA B. OPOSICAO MASC. 44496 44510	1	7909642907353,00
12342	BERMUDA B. OPOSICAO MASC. 48442 48443	3	
18765	BERMUDA B. OPOSICAO MASC. 61657	1	7909888137972,00
19906	BERMUDA B. OPOSICAO MASC. 65231	2	7909888339550,00
19905	BERMUDA B. OPOSICAO MASC. 65242	2	7909888341416,00
20793	BERMUDA B. OPOSICAO MASC. 67679	2	7909888537543,00
20795	BERMUDA B. OPOSICAO MASC. 67690	6	7909888531886,00
20796	BERMUDA B. OPOSICAO MASC. 67692	6	7909888537932,00
20797	BERMUDA B. OPOSICAO MASC. 67697	5	7909888564044,00
11963	BERMUDA B. OPOSICAO MASC. 76730	4	7908280703372,00
11543	BERMUDA B. OPOSICAO MASC. 76731	5	7900203492189,00
12358	BERMUDA B. OPOSICAO MASC. 76734	3	7900203491359,00
4857	BERMUDA B. OPOSICAO MASC. 76736	3	7900203491465,00
25837	BERMUDA B. OPOSICAO MASC. 77837	6	7900203495685,00
10962	BERMUDA B. OPOSICAO MASC. 77838	4	7900203492479,00
10153	BERMUDA B. TOP ROCK 2420	17	SEM GTIN
14483	BERMUDA B. YOUNG 742	5	7900230150618,00
4611	BERMUDA B. YOUNG 757	3	7900230157006,00
13151	BERMUDA B. YOUNG CICLISTA 868	8	7900230157693,00
14276	BERMUDA B. YOUNG FEM. 860	7	7900230149681,00
24803	BERMUDA B. YOUNG LYCRA 739	4	7900230144730,00
25678	BERMUDA B. YOUNG LYCRA 777	4	7900230167036,00
9551	BERMUDA B. YOUNG MASC. 320	3	SEM GTIN
2137	BERMUDA B. YOUNG MASC. 342	1	SEM GTIN
13024	BERMUDA B. YOUNG MASC. 357	4	7900230117185,00
4230	BERMUDA B. YOUNG MASC. 369	2	SEM GTIN
381	BERMUDA B. YOUNG MASC. 380	5	be38038
11941	BERMUDA B. YOUNG MASC. 395	1	SEM GTIN
13026	BERMUDA B. YOUNG MASC. 431	1	Be43152
13028	BERMUDA B. YOUNG MASC. 435	1	bE43540
13311	BERMUDA B. YOUNG MASC. 447	7	be$4744
13030	BERMUDA B. YOUNG MASC. 459	2	SEM GTIN
14273	BERMUDA B. YOUNG MASC. 465	1	SEM GTIN
14274	BERMUDA B. YOUNG MASC. 470	2	SEM GTIN
4657	BERMUDA B. YOUNG MASC. 473	4	7900230162437,00
4516	BERMUDA B. YOUNG MASC. 5208	1	SEM GTIN
16693	BERMUDA B. YOUNG MASC. 532	1	be53242
18026	BERMUDA B. YOUNG MASC. 541	6	bE%4140
14300	BERMUDA B. YOUNG MASC. 5500	8	550000842,00
6245	BERMUDA B. YOUNG MASC. 558	11	7900230117697,00
8609	BERMUDA B. YOUNG MASC. 562	3	be56238
2861	BERMUDA B. YOUNG MASC. 5700	1	SEM GTIN
3831	BERMUDA B. YOUNG MASC. 5741	1	SEM GTIN
8301	BERMUDA B. YOUNG MASC. 581	5	SEM GTIN
4116	BERMUDA B. YOUNG MASC. 582	2	be58248
9572	BERMUDA B. YOUNG MASC. 5844, 381	1	SEM GTIN
4956	BERMUDA B. YOUNG MASC. 5864	1	SEM GTIN
8333	BERMUDA B. YOUNG MASC. 5921	1	SEM GTIN
22578	BERMUDA B. YOUNG MASC. 599	3	7900230117826,00
20645	BERMUDA B. YOUNG MASC. 606	3	be60636
23549	BERMUDA B. YOUNG MASC. 634	4	BE63446
22651	BERMUDA B. YOUNG MASC. 635	4	BE63548
24799	BERMUDA B. YOUNG MASC. 659	1	7900230118922,00
4977	BERMUDA B. YOUNG MASC. 693	3	BE69350
16755	BERMUDA B. YOUNG MASC. 706	6	SEM GTIN
22862	BERMUDA B. YOUNG MASC. 725	3	be72536
22860	BERMUDA B. YOUNG MASC. 726	3	be72638
2418	BERMUDA B. YOUNG MASC. 738	5	7900230134021,00
13027	BERMUDA B. YOUNG MASC. 755	2	7900230163533,00
13487	BERMUDA B. YOUNG MASC. 756	1	7900230154968,00
11592	BERMUDA B. YOUNG MASC. 770	4	7900230162710,00
14365	BERMUDA B. YOUNG MASC. 773	6	7900230161058,00
9757	BERMUDA COTTON ELITE 119784	1	7892888184902,00
11114	BERMUDA COTTON ELITE 119911	3	7892888453121,00
10510	BERMUDA COTTON ELITE 119918	1	7892888482442,00
12180	BERMUDA COTTON ELITE 119938	2	7892888647643,00
12435	BERMUDA COTTON ELITE 119939	1	7892888639259,00
14528	BERMUDA COTTON ELITE 129033	2	7892888171421,00
14535	BERMUDA COTTON ELITE 129085	1	7892888445874,00
16664	BERMUDA COTTON ELITE 129127	6	7892888647544,00
16607	BERMUDA COTTON ELITE 129129	10	7892888646653,00
16663	BERMUDA COTTON ELITE 129130	3	7892888594978,00
18775	BERMUDA COTTON ELITE 129133	7	7892888646486,00
16608	BERMUDA COTTON ELITE 129175	1	7892888708368,00
18791	BERMUDA COTTON ELITE 129205	2	7892888787691,00
18779	BERMUDA COTTON ELITE 129247	4	7892888896782,00
20710	BERMUDA COTTON ELITE 129277	2	7892888413989,00
9889	BERMUDA COTTON ELITE 19618	3	7892888462598,00
5483	BERMUDA COTTON ELITE P-GG 119581	1	7892888196431,00
11414	BERMUDA COTTON SELENE 20835	1	7891290776774,00
13012	BERMUDA COTTON SELENE 24910	1	7891290830193,00
19026	BERMUDA COTTON SELENE 24940	6	7891290830261,00
19033	BERMUDA COTTON SELENE 24992	2	7891290099484,00
23774	BERMUDA DOCE TRAMA 104958	2	7900096109010,00
23457	BERMUDA DOCE TRAMA 105042	2	7900096192425,00
25806	BERMUDA DOCE TRAMA 106064	6	7900096436796,00
11582	BERMUDA DOCE TRAMA 200287 	2	7898469335985,00
19460	BERMUDA DOCE TRAMA 201455	2	7900096023934,00
24079	BERMUDA DOCE TRAMA 201927	2	7900096179952,00
1924	BERMUDA ELITE 119806	1	7892888229498,00
12178	BERMUDA ELITE 1247	20	7892888342722,00
12179	BERMUDA ELITE 1248	9	7892888835828,00
12327	BERMUDA ELITE 1252	15	7892888615550,00
16610	BERMUDA ELITE 1288	6	7892888695194,00
16653	BERMUDA ELITE 23060	1	7892888706791,00
2089	BERMUDA ELITE 23261	1	7892888283292,00
12326	BERMUDA ELITE 23264	1	7892888450687,00
18777	BERMUDA ELITE 23279	2	7892888844493,00
20711	BERMUDA ELITE 31489	3	7892888114091,00
20716	BERMUDA ELITE 31494	3	7892888413460,00
14504	BERMUDA ELITE 34409	8	7892888577773,00
14524	BERMUDA ELITE 34433	2	7892888343231,00
14519	BERMUDA ELITE 34440	1	7892888443870,00
14523	BERMUDA ELITE 34447	4	7892888493462,00
2430	BERMUDA ELITE 34453	3	7892888615840,00
20717	BERMUDA ELITE 34493	2	7892888566296,00
24308	BERMUDA ELITE 34519	4	7892888811860,00
24324	BERMUDA ELITE 34521	7	7892888872182,00
24291	BERMUDA ELITE 34523	6	7892888879044,00
10989	BERMUDA ELITE 34530	2	7909593002220,00
12320	BERMUDA ELITE CICLISTA 119386	1	
11396	BERMUDA ELITE CICLISTA 119798	1	7892888206567,00
12321	BERMUDA ELITE CICLISTA 119832	2	7892888305703,00
10192	BERMUDA ELITE CICLISTA 119899	1	7892888369972,00
10193	BERMUDA ELITE CICLISTA 119900	1	7892888373009,00
10498	BERMUDA ELITE CICLISTA 119977	1	7892888763343,00
11400	BERMUDA ELITE CICLISTA 119987	4	7892888847296,00
12190	BERMUDA ELITE CICLISTA 129004	4	
12191	BERMUDA ELITE CICLISTA 129011	3	
12434	BERMUDA ELITE CICLISTA 129012	1	7892888000202,00
9654	BERMUDA ELITE CICLISTA 129017	2	
14513	BERMUDA ELITE CICLISTA 129077	1	7892888428075,00
14510	BERMUDA ELITE CICLISTA 129081	2	7892888432638,00
14515	BERMUDA ELITE CICLISTA 129122	4	7892888497460,00
10191	BERMUDA ELITE CICLISTA 129182	4	7892888711832,00
3620	BERMUDA ELITE EG-EGG 23075	1	7892888832339,00
10504	BERMUDA ELITE EG1-EG3 34526	1	7892888946531,00
8793	BERMUDA ELITE P-G 119607	2	7892888354565,00
7515	BERMUDA ELITE P-GG 119492	3	7892888100247,00
14539	BERMUDA ELITE P-GG 34526	4	7892888947460,00
23507	BERMUDA FATAL 29766	4	7909088570944,00
19620	BERMUDA INF. B. LUNENDER 47775	1	7909878009715,00
22880	BERMUDA INF. B. LUNENDER 75487	2	7900066408914,00
22923	BERMUDA INF. B. LUNENDER 75933	3	7909878569578,00
1188	BERMUDA J. AION FEM. 288, 101882	2	7890000718721,00
705	BERMUDA J. AION LYCRA 102724, 102720	3	SEM GTIN
8223	BERMUDA J. AION LYCRA 2244	1	800540098992,00
4288	BERMUDA J. AION LYCRA 2322	1	800810099665,00
8779	BERMUDA J. AION MASC 102741	1	SEM GTIN
8777	BERMUDA J. AION MASC 106936	1	SEM GTIN
15422	BERMUDA J. ALFA 334I	5	334i 01005
2251	BERMUDA J. BIVIK LYCRA 2622, 3299, 1283	1	7899251150465,00
2378	BERMUDA J. BIVIK LYCRA 3299, 3537	1	7895779462417,00
380	BERMUDA J. BIVIK LYCRA M. J. 1802	1	7899251139392,00
23898	BERMUDA J. DELIZ MASC 5006A	13	7908467690136,00
423	BERMUDA J. OPOSICAO 61657	2	7909888137880,00
19993	BERMUDA J. OPOSICAO 65223	1	7909888338584,00
19997	BERMUDA J. OPOSICAO 65226	1	7909888338843,00
19896	BERMUDA J. OPOSICAO 65227	1	7909888338997,00
19911	BERMUDA J. OPOSICAO 65345	4	7909888349009,00
19909	BERMUDA J. OPOSICAO 65346	2	7909888349061,00
19912	BERMUDA J. OPOSICAO 65349	1	7909888349467,00
12362	BERMUDA J. OPOSICAO FEM. 47924	1	7909642276367,00
4329	BERMUDA J. OPOSICAO FEM. 61756	1	7909888167061,00
25845	BERMUDA J. OPOSICAO FEM. 76786	7	7900203482289,00
2515	BERMUDA J. OPOSICAO FEM. 76798	5	7900203480636,00
10499	BERMUDA J. OPOSICAO FEM. 76799	6	7900203486188,00
115	BERMUDA J. OPOSICAO FEM. 79014	5	7900203499966,00
10647	BERMUDA J. OPOSICAO LYCRA 44614 44639	2	7909642920536,00
1494	BERMUDA J. OPOSICAO LYCRA 44641	2	7909642919820,00
12343	BERMUDA J. OPOSICAO LYCRA 47911	3	
12359	BERMUDA J. OPOSICAO LYCRA 47913	1	7909642321821,00
12361	BERMUDA J. OPOSICAO LYCRA 47920	2	7909642275933,00
12344	BERMUDA J. OPOSICAO LYCRA 47921	1	
289	BERMUDA J. OPOSICAO LYCRA 61745	1	7909888166941,00
1948	BERMUDA J. OPOSICAO LYCRA 61747	1	7909888225815,00
20800	BERMUDA J. OPOSICAO LYCRA 67791	3	7909888527933,00
12340	BERMUDA J. OPOSICAO MASC. 47777	2	
19995	BERMUDA J. OPOSICAO MASC. 65235	2	7909888340242,00
322	BERMUDA J. OPOSICAO MASC. 66205	2	7909888250688,00
4949	BERMUDA J. OPOSICAO MASC. 67669	1	7909888550443,00
10644	BERMUDA J. OPOSICAO MASC. 67677	1	7909888518986,00
5480	BERMUDA J. OPOSICAO MASC. 67686	2	7909888519051,00
20794	BERMUDA J. OPOSICAO MASC. 67689	1	7909888519303,00
4446	BERMUDA J. OPOSICAO MASC. 76714	5	7900203488922,00
25842	BERMUDA J. OPOSICAO MASC. 76717	5	7900203488373,00
12341	BERMUDA J. OPOSICAO MASC. 76720	3	7900203491250,00
5482	BERMUDA J. OPOSICAO MASC. 78058	5	7900203489936,00
13486	BERMUDA J. OPPNUS LYCRA 001	2	9820043951630,00
13837	BERMUDA J. OPPNUS LYCRA 008	1	9820043951210,00
10725	BERMUDA J. OPPNUS LYCRA 4366	1	9820043667838,00
15292	BERMUDA J. OPPNUS MASC. 021	4	9820044050516,00
15291	BERMUDA J. OPPNUS MASC. 044	1	9820044050394,00
2852	BERMUDA J. OPPNUS MASC. 283	1	SEM GTIN
10721	BERMUDA J. OPPNUS MASC. 4366	1	9820043661003,00
9840	BERMUDA J. OPPNUS MASC. 5724	1	SEM GTIN
9520	BERMUDA J. SAWARY 249607	1	7895784185196,00
2079	BERMUDA J. SAWARY LYCRA 5025	2	7895785025224,00
4621	BERMUDA J. SAWARY MASC. 4803	1	7895784320580,00
32	BERMUDA J. YOUNG 169	1	SEM GTIN
23298	BERMUDA J. YOUNG 1834	4	ci83440
18014	BERMUDA J. YOUNG 4292	4	SEM GTIN
13147	BERMUDA J. YOUNG 440	2	SEM GTIN
16692	BERMUDA J. YOUNG 496	2	BE49640
20281	BERMUDA J. YOUNG 500	3	BE50042
20283	BERMUDA J. YOUNG 568	1	BE56836
3438	BERMUDA J. YOUNG 762	3	7900230157198,00
20547	BERMUDA J. YOUNG BE573	4	bE57350
20022	BERMUDA J. YOUNG BE598	5	BE59850
20456	BERMUDA J. YOUNG BE622	9	7900230118281,00
20257	BERMUDA J. YOUNG BE628	2	BE62842
24853	BERMUDA J. YOUNG CICLISTA 833	12	7900230121519,00
3874	BERMUDA J. YOUNG LYCRA 2793, 2806, 2952	1	295200838,00
6515	BERMUDA J. YOUNG LYCRA 3948	1	SEM GTIN
4773	BERMUDA J. YOUNG LYCRA 3987, 6961	1	332800838,00
9126	BERMUDA J. YOUNG LYCRA 551	1	SEM GTIN
8322	BERMUDA J. YOUNG LYCRA 6369	1	SEM GTIN
24805	BERMUDA J. YOUNG LYCRA 644	8	7900230118670,00
4944	BERMUDA J. YOUNG LYCRA 6440	1	SEM GTIN
22864	BERMUDA J. YOUNG LYCRA 670	1	SEM GTIN
9559	BERMUDA J. YOUNG LYCRA 6751	1	SEM GTIN
4625	BERMUDA J. YOUNG LYCRA 712	1	SEM GTIN
24797	BERMUDA J. YOUNG LYCRA 741	4	SEM GTIN
11593	BERMUDA J. YOUNG LYCRA 801	1	SEM GTIN
9271	BERMUDA J. YOUNG LYCRA 8027	1	SEM GTIN
13038	BERMUDA J. YOUNG LYCRA 812	10	ci81246
93	BERMUDA J. YOUNG LYCRA 8173	1	817300840,00
9550	BERMUDA J. YOUNG LYCRA 820	2	SEM GTIN
8320	BERMUDA J. YOUNG LYCRA 847	4	7900230105687,00
20255	BERMUDA J. YOUNG LYCRA BE618	3	BE61844
2710	BERMUDA J. YOUNG LYCRA GG 3463	1	346300852,00
13025	BERMUDA J. YOUNG MASC. 242	1	BE42654
11	BERMUDA J. YOUNG MASC. 404	1	SEM GTIN
3684	BERMUDA J. YOUNG MASC. 4768, 5814	1	7899653410440,00
16754	BERMUDA J. YOUNG MASC. 530	1	BE53038
9554	BERMUDA J. YOUNG MASC. 5535	1	SEM GTIN
6491	BERMUDA J. YOUNG MASC. 5618, 711	1	SEM GTIN
22579	BERMUDA J. YOUNG MASC. 687	3	SEM GTIN
60	BERMUDA J. YOUNG MASC. 688	2	SEM GTIN
3961	BERMUDA J. YOUNG MASC. 691	2	SEM GTIN
3869	BERMUDA J. YOUNG MASC. 6956	1	SEM GTIN
1722	BERMUDA J. YOUNG MASC. 744	5	SEM GTIN
17739	BERMUDA JUV. B. LUNENDER 75165	3	7909683010302,00
22884	BERMUDA JUV. B. LUNENDER 75486	1	7900066426567,00
22883	BERMUDA JUV. B. LUNENDER 75486	1	7900066426468,00
24325	BERMUDA JUV. COTTON ELITE 129133	6	7892888042578,00
18839	BERMUDA JUV. ELITE 34440	1	7892888034436,00
18772	BERMUDA JUV. TEC-TEL ELITE 34292	8	7892888044275,00
20816	BERMUDA LEGGING ELITE 129310	17	7892888627300,00
19898	BERMUDA MASC. OPOSICAO 65238	1	7909888340938,00
19994	BERMUDA MASC. OPOSICAO 65356	3	7909888350210,00
19895	BERMUDA MASC. OPOSICAO 66268	4	7909888339796,00
19381	BERMUDA MASC. SELENE 30050	2	7891290006666,00
14532	BERMUDA MOL. ELITE 34434	1	7892888435035,00
16606	BERMUDA MOL. ELITE 34460	2	7892888757526,00
16662	BERMUDA MOL. ELITE 34512	3	7892888668747,00
10141	BERMUDA MOL. MOMENTUS 56177, 56232	1	7899833753855,00
10140	BERMUDA MOL. MOMENTUS 56194	1	SEM GTIN
12719	BERMUDA MOL. MOMENTUS 56394	2	7899833823787,00
12720	BERMUDA MOL. MOMENTUS 56395	5	7899833838460,00
12721	BERMUDA MOL. MOMENTUS 56396	10	7899833841156,00
12722	BERMUDA MOL. MOMENTUS 56397	1	7899833840579,00
15496	BERMUDA MOL. MOMENTUS 56579	3	7899833933271,00
6915	BERMUDA MOL. MOMENTUS 56580	1	7899833938238,00
10815	BERMUDA MOL. SELENE 25100	4	7891290806440,00
5489	BERMUDA MOL. YOUNG 5715, 5717	3	SEM GTIN
99	BERMUDA OPOSICAO 61658	2	7909888137606,00
4770	BERMUDA OPOSICAO FEM. 79013	1	7900203558687,00
16981	BERMUDA SELENE 25110	3	7891290877754,00
878	BERMUDA SURF CA-VA	1	602285100011,00
7119	BERMUDA SURF FATAL 9200, 9203, 9203 	1	7909235039232,00
10288	BERMUDA TEC-TEL AMIL 1552	1	7898661208803,00
8391	BERMUDA TEC-TEL AMIL 477	2	7898570490214,00
6329	BERMUDA TEC-TEL AMIL 480	7	7898570491983,00
7062	BERMUDA TEC-TEL AMIL 677	1	SEM GTIN
4946	BERMUDA TEC-TEL AMIL 969	6	7898643630257,00
10299	BERMUDA TEC-TEL AMIL 991	1	7898661009028,00
8063	BERMUDA TEC-TEL AMIL ACQUA 714	1	7898570498722,00
9893	BERMUDA TEC-TEL ELITE 34292	2	7892888997588,00
23501	BERMUDA TEC-TEL FATAL 25331	7	7909584459675,00
931	BERMUDA TEC-TEL RC BARROS	2	SEM GTIN
4870	BERMUDA TEC-TEL SHEKINAH	1	SEM GTIN
3160	BERMUDA TEC-TEL VENUS 210, 217	1	7898469306657,00
1337	BERMUDA TEC-TEL VENUS 261	2	7898469305346,00
4124	BERMUDA TEC-TEL VENUS 262	1	7898469303434,00
9911	BERMUDA TEC-TEL VOLEIO 1784	1	SEM GTIN
9912	BERMUDA TEC-TEL VOLEIO 1804	2	SEM GTIN
9914	BERMUDA TEC-TEL VOLEIO 2684	2	SEM GTIN
9915	BERMUDA TEC-TEL VOLEIO 2724	1	SEM GTIN
9916	BERMUDA TEC-TEL VOLEIO 2744	3	SEM GTIN
4246	BERMUDA TERMICA ELITE 19481	5	7892888274528,00
9906	BERMUDA TERMICA ELITE 19691	3	7892888595661,00
9741	BERMUDA TERMICA PENALTY 3311	2	7909342188229,00
19410	BERMUDA TERMICA SCALIBU 1247	8	7890001017915,00
5462	BERMUDA UMBRO 201.T078	3	7894193142783,00
20834	BLAZER DOCE TRAMA 103404	2	7898469560448,00
21762	BLAZER DOCE TRAMA 103611	2	7898469627400,00
7550	BLAZER DOCE TRAMA 103659	4	7898469990474,00
10948	BLAZER DOCE TRAMA 103844	1	7898469647989,00
20807	BLAZER DOCE TRAMA 104456	2	7900096079788,00
21785	BLAZER DOCE TRAMA 201682	2	7900096052866,00
10957	BLAZER DOCE TRAMA 6302561	1	7898469594962,00
6634	BLAZER NONATA 115	1	SEM GTIN
21705	BLAZER OPOSICAO 67835	1	7909888558654,00
2334	BLUSA CESTI ELABEL	3	SEM GTIN
6459	BLUSA CORPETE MIXUS 30043	2	7899343458387,00
1742	BLUSA DOCE TRAMA 100771	2	7898469255078,00
9457	BLUSA DOCE TRAMA 100791	1	7898469089444,00
10348	BLUSA DOCE TRAMA 101178	1	7898469209750,00
18921	BLUSA DOCE TRAMA 101381	1	7898469657612,00
11768	BLUSA DOCE TRAMA 101700	2	7898469335954,00
11578	BLUSA DOCE TRAMA 101762 	1	7898469315314,00
11579	BLUSA DOCE TRAMA 101782 	1	7898469319381,00
14696	BLUSA DOCE TRAMA 102317	1	7898469463060,00
13732	BLUSA DOCE TRAMA 102589	3	7898469447404,00
15436	BLUSA DOCE TRAMA 102832	1	7898469500185,00
15415	BLUSA DOCE TRAMA 102937	1	
15460	BLUSA DOCE TRAMA 102941	1	7898469503360,00
15414	BLUSA DOCE TRAMA 1029926	1	7898469510979,00
15469	BLUSA DOCE TRAMA 103004	1	7898469511945,00
15470	BLUSA DOCE TRAMA 103007	1	7898469492992,00
16928	BLUSA DOCE TRAMA 103213	1	7898469575107,00
16878	BLUSA DOCE TRAMA 103215	1	7898469577712,00
16882	BLUSA DOCE TRAMA 103243	1	7898469571314,00
17007	BLUSA DOCE TRAMA 103378	1	7898469558872,00
16931	BLUSA DOCE TRAMA 103389	1	7898469558162,00
10389	BLUSA DOCE TRAMA 103442	2	7898469608416,00
18251	BLUSA DOCE TRAMA 103445	2	7898469624195,00
18252	BLUSA DOCE TRAMA 103449	2	7898469605149,00
10400	BLUSA DOCE TRAMA 103469	1	7898469601899,00
18255	BLUSA DOCE TRAMA 103472	1	7898469610945,00
9408	BLUSA DOCE TRAMA 103515	2	7898469619993,00
18263	BLUSA DOCE TRAMA 103528	1	7898469612284,00
18272	BLUSA DOCE TRAMA 103533	2	7898469616732,00
18264	BLUSA DOCE TRAMA 103535	1	7898469594627,00
18265	BLUSA DOCE TRAMA 103536	1	7898469620050,00
18266	BLUSA DOCE TRAMA 103543	1	7898469593866,00
18268	BLUSA DOCE TRAMA 103560	1	7898469594801,00
13724	BLUSA DOCE TRAMA 103590	2	7898469607273,00
14728	BLUSA DOCE TRAMA 103601	1	7898469601981,00
18271	BLUSA DOCE TRAMA 103606	2	7898469595532,00
18979	BLUSA DOCE TRAMA 103618	3	7898469653980,00
18958	BLUSA DOCE TRAMA 103633	2	7898469654451,00
18911	BLUSA DOCE TRAMA 103641	1	7898469642298,00
13731	BLUSA DOCE TRAMA 103650	1	7898469649952,00
18946	BLUSA DOCE TRAMA 103652	1	7898469649587,00
18912	BLUSA DOCE TRAMA 103658	1	7898469996742,00
18959	BLUSA DOCE TRAMA 103670	2	7898469650996,00
11764	BLUSA DOCE TRAMA 103672	1	7898469649037,00
10405	BLUSA DOCE TRAMA 103719	2	7898469657537,00
18914	BLUSA DOCE TRAMA 103723	1	7898469997077,00
11575	BLUSA DOCE TRAMA 103748	1	7898469656516,00
18915	BLUSA DOCE TRAMA 103807	1	7898469657322,00
18917	BLUSA DOCE TRAMA 103828	1	7898469643066,00
11763	BLUSA DOCE TRAMA 103830	1	7898469351497,00
11574	BLUSA DOCE TRAMA 103832	2	7898469642816,00
18962	BLUSA DOCE TRAMA 103838	5	7898469994151,00
18918	BLUSA DOCE TRAMA 103846	1	7898469657346,00
2952	BLUSA DOCE TRAMA 103852	2	7898469655427,00
19449	BLUSA DOCE TRAMA 103927	1	7900096025310,00
19456	BLUSA DOCE TRAMA 103950	2	7900096017452,00
19469	BLUSA DOCE TRAMA 103956	8	7900096033575,00
19470	BLUSA DOCE TRAMA 103960	1	7900096032400,00
19549	BLUSA DOCE TRAMA 103989	3	7900096025150,00
19980	BLUSA DOCE TRAMA 103993	2	7900096003462,00
19465	BLUSA DOCE TRAMA 103997	2	7900096013379,00
19546	BLUSA DOCE TRAMA 104040	1	7900096011627,00
20400	BLUSA DOCE TRAMA 104059	1	7900096020834,00
19458	BLUSA DOCE TRAMA 104099	1	7900096017391,00
20403	BLUSA DOCE TRAMA 104101	1	7900096014253,00
19471	BLUSA DOCE TRAMA 104113	3	7900096008436,00
19482	BLUSA DOCE TRAMA 104114	2	7900096026683,00
19457	BLUSA DOCE TRAMA 104119	1	7900096017438,00
19473	BLUSA DOCE TRAMA 104122	2	7900096009426,00
19461	BLUSA DOCE TRAMA 104124	1	7900096030123,00
19977	BLUSA DOCE TRAMA 104129	1	7900096018237,00
13941	BLUSA DOCE TRAMA 104341	5	7900096373039,00
20861	BLUSA DOCE TRAMA 104343	4	7900096072758,00
20862	BLUSA DOCE TRAMA 104350	9	7900096073687,00
